Call ID,Date Time,Agent ID,Agent State,Call Type,Service,Answer Time,avg talking time,Call Fwd,FWD Agent,disconnected code,disconnect time,Survey Opted,Customer FB,resolved
CID-00042,2026-02-01T11:47:40Z,1013,0,4,3,31,58,Yes,1003.0,1,2026-02-01T11:49:09Z,No,,N
CID-00043,2026-02-09T02:38:15Z,1015,1,4,1,58,16,No,,57,2026-02-09T02:39:29Z,,,Y
CID-00044,2026-02-22T05:02:32Z,1009,0,5,10,18,320,Yes,1011.0,1,2026-02-22T05:08:10Z,No,,N
CID-00045,2026-02-13T05:01:27Z,1002,0,2,10,59,240,Yes,1013.0,1,2026-02-13T05:06:26Z,No,,N
CID-00046,2026-02-21T02:31:19Z,1005,0,2,1,17,47,Yes,1013.0,1,2026-02-21T02:32:23Z,Yes,3.0,N
CID-00047,2026-02-16T11:14:04Z,1010,0,5,10,27,32,Yes,1003.0,1,2026-02-16T11:15:03Z,Yes,3.0,N
CID-00048,2026-02-21T07:06:25Z,1010,0,2,4,49,397,Yes,1012.0,1,2026-02-21T07:13:51Z,No,,N
CID-00049,2026-02-25T06:42:59Z,1011,2,1,2,16,323,No,,1,2026-02-25T06:48:38Z,Yes,0.0,Y
CID-00050,2026-02-21T12:27:27Z,1008,0,1,10,54,147,Yes,1003.0,1,2026-02-21T12:30:48Z,No,,N
CID-00051,2026-02-20T23:33:25Z,1006,1,1,3,53,367,No,,1,2026-02-20T23:40:25Z,No,,Y
CID-00052,2026-02-19T04:46:41Z,1008,0,5,4,30,142,Yes,1013.0,1,2026-02-19T04:49:33Z,Yes,2.0,Y
CID-00053,2026-02-06T19:00:53Z,1013,0,2,2,60,203,Yes,1006.0,1,2026-02-06T19:05:16Z,No,,N
CID-00054,2026-02-05T13:15:52Z,1005,10,4,1,14,372,No,,1,2026-02-05T13:22:18Z,Yes,3.0,N
CID-00055,2026-02-09T06:39:56Z,1006,0,5,3,32,435,Yes,1013.0,1,2026-02-09T06:47:43Z,No,,N
CID-00056,2026-02-01T08:23:01Z,1001,9,2,5,13,450,No,,1,2026-02-01T08:30:44Z,Yes,4.0,N
CID-00057,2026-02-19T11:06:48Z,1013,0,2,3,37,419,Yes,1003.0,1,2026-02-19T11:14:24Z,Yes,1.0,N
CID-00058,2026-02-15T06:27:52Z,1005,0,5,5,23,423,Yes,1015.0,1,2026-02-15T06:35:18Z,No,,N
CID-00059,2026-02-27T01:55:40Z,1007,0,5,4,38,399,Yes,1014.0,1,2026-02-27T02:02:57Z,Yes,0.0,Y
CID-00060,2026-02-10T08:57:09Z,1002,1,5,1,33,381,No,,1,2026-02-10T09:04:03Z,No,,N
CID-00061,2026-02-16T05:11:45Z,1012,10,5,2,12,176,No,,1,2026-02-16T05:14:53Z,No,,Y
CID-00062,2026-02-21T05:00:51Z,1007,0,5,10,47,261,Yes,1013.0,1,2026-02-21T05:05:59Z,Yes,3.0,Y
CID-00063,2026-02-10T03:22:21Z,1005,0,2,1,59,78,Yes,1013.0,1,2026-02-10T03:24:38Z,No,,N
CID-00064,2026-02-21T02:30:26Z,1014,3,5,4,34,417,No,,1,2026-02-21T02:37:57Z,No,,N
CID-00065,2026-02-02T21:44:03Z,1002,0,1,3,45,385,Yes,1007.0,1,2026-02-02T21:51:13Z,Yes,4.0,Y
CID-00066,2026-02-19T12:57:31Z,1008,0,2,5,60,215,Yes,1004.0,1,2026-02-19T13:02:06Z,Yes,2.0,N
CID-00067,2026-02-12T04:25:30Z,1012,1,4,4,34,50,No,,1,2026-02-12T04:26:54Z,Yes,2.0,N
CID-00068,2026-02-22T15:45:01Z,1001,1,4,3,58,97,No,,1,2026-02-22T15:47:36Z,Yes,3.0,N
CID-00069,2026-02-08T02:54:05Z,1004,0,1,1,10,127,Yes,1014.0,1,2026-02-08T02:56:22Z,No,,N
CID-00070,2026-02-19T10:07:52Z,1011,0,4,1,10,193,Yes,1003.0,1,2026-02-19T10:11:15Z,No,,N
CID-00071,2026-02-07T13:54:42Z,1008,0,2,2,25,186,Yes,1001.0,1,2026-02-07T13:58:13Z,Yes,4.0,Y
CID-00072,2026-02-01T14:06:10Z,1011,0,4,2,49,191,Yes,1002.0,1,2026-02-01T14:10:10Z,No,,Y
CID-00073,2026-02-04T22:21:07Z,1015,0,4,10,47,287,Yes,1009.0,1,2026-02-04T22:26:41Z,No,,Y
CID-00074,2026-02-05T03:45:31Z,1015,2,1,2,15,437,No,,1,2026-02-05T03:53:03Z,Yes,2.0,N
CID-00075,2026-02-07T12:48:07Z,1005,10,4,10,30,389,No,,1,2026-02-07T12:55:06Z,Yes,4.0,N
CID-00076,2026-02-05T07:58:38Z,1004,0,1,3,46,11,Yes,1015.0,57,2026-02-05T07:59:35Z,,,Y
CID-00077,2026-02-25T01:31:49Z,1011,10,1,5,15,394,No,,1,2026-02-25T01:38:38Z,No,,N
CID-00078,2026-02-22T15:54:44Z,1013,0,4,5,46,329,Yes,1002.0,1,2026-02-22T16:00:59Z,Yes,2.0,N
CID-00079,2026-02-26T03:57:07Z,1011,3,5,1,38,397,No,,1,2026-02-26T04:04:22Z,No,,Y
CID-00080,2026-02-04T00:51:07Z,1011,3,1,4,20,253,No,,1,2026-02-04T00:55:40Z,No,,N
CID-00081,2026-02-11T00:27:51Z,1014,10,2,3,59,12,No,,57,2026-02-11T00:29:02Z,,,N
CID-00082,2026-02-20T20:44:52Z,1008,9,5,10,52,51,No,,1,2026-02-20T20:46:35Z,No,,N
CID-00083,2026-02-19T03:01:41Z,1011,1,2,1,14,188,No,,1,2026-02-19T03:05:03Z,No,,N
CID-00084,2026-02-16T07:38:49Z,1008,0,5,3,58,294,Yes,1012.0,1,2026-02-16T07:44:41Z,Yes,1.0,Y
CID-00085,2026-02-23T14:28:44Z,1012,0,4,3,44,99,Yes,1002.0,1,2026-02-23T14:31:07Z,Yes,0.0,N
CID-00086,2026-02-01T18:41:15Z,1013,0,5,2,26,218,Yes,1009.0,1,2026-02-01T18:45:19Z,Yes,1.0,Y
CID-00087,2026-02-03T12:25:19Z,1007,0,2,3,41,385,Yes,1003.0,1,2026-02-03T12:32:25Z,No,,N
CID-00088,2026-02-15T01:44:38Z,1002,0,4,1,33,316,Yes,1014.0,1,2026-02-15T01:50:27Z,Yes,1.0,N
CID-00089,2026-02-17T11:41:53Z,1007,0,1,5,48,386,Yes,1005.0,1,2026-02-17T11:49:07Z,Yes,3.0,N
CID-00090,2026-02-20T16:36:38Z,1014,0,4,3,34,272,Yes,1008.0,1,2026-02-20T16:41:44Z,Yes,0.0,N
CID-00091,2026-02-09T14:18:15Z,1003,10,1,3,31,437,No,,1,2026-02-09T14:26:03Z,No,,Y
CID-00092,2026-02-04T11:56:54Z,1008,0,4,2,33,10,Yes,1003.0,57,2026-02-04T11:57:37Z,,,N
CID-00093,2026-02-02T22:38:41Z,1010,10,1,2,34,388,No,,1,2026-02-02T22:45:43Z,Yes,5.0,N
CID-00094,2026-02-09T06:59:45Z,1011,3,2,3,54,198,No,,1,2026-02-09T07:03:57Z,Yes,4.0,Y
CID-00095,2026-02-26T05:43:25Z,1009,0,2,10,48,442,Yes,1014.0,1,2026-02-26T05:51:35Z,Yes,0.0,N
CID-00096,2026-02-06T02:53:26Z,1005,0,1,5,52,108,Yes,1013.0,1,2026-02-06T02:56:06Z,No,,N
CID-00097,2026-02-13T06:22:15Z,1011,2,4,1,19,375,No,,1,2026-02-13T06:28:49Z,Yes,1.0,Y
CID-00098,2026-02-18T02:47:10Z,1011,2,5,10,20,18,No,,57,2026-02-18T02:47:48Z,,,N
CID-00099,2026-02-15T00:25:10Z,1014,13,5,4,43,75,No,,1,2026-02-15T00:27:08Z,No,,N
CID-00100,2026-02-06T03:01:17Z,1006,0,5,1,22,374,Yes,1011.0,1,2026-02-06T03:07:53Z,No,,Y
CID-00101,2026-02-27T01:56:18Z,1003,0,4,1,34,373,Yes,1015.0,1,2026-02-27T02:03:05Z,No,,N
CID-00102,2026-02-09T03:59:51Z,1002,0,2,3,10,53,Yes,1013.0,1,2026-02-09T04:00:54Z,Yes,3.0,N
CID-00103,2026-02-13T02:35:58Z,1011,3,1,5,45,232,No,,1,2026-02-13T02:40:35Z,Yes,4.0,Y
CID-00104,2026-02-02T01:56:21Z,1002,0,4,3,26,435,Yes,1013.0,1,2026-02-02T02:04:02Z,Yes,2.0,Y
CID-00105,2026-02-04T19:04:37Z,1010,1,4,10,42,78,No,,1,2026-02-04T19:06:37Z,Yes,3.0,Y
CID-00106,2026-02-17T01:59:14Z,1015,2,1,2,47,9,No,,57,2026-02-17T02:00:10Z,,,Y
CID-00107,2026-02-23T16:02:39Z,1006,4,1,2,20,187,No,,1,2026-02-23T16:06:06Z,No,,Y
CID-00108,2026-02-10T15:22:09Z,1005,13,2,5,56,326,No,,1,2026-02-10T15:28:31Z,No,,Y
CID-00109,2026-02-07T05:32:57Z,1009,0,2,2,33,53,Yes,1013.0,1,2026-02-07T05:34:23Z,No,,N
CID-00110,2026-02-17T03:06:32Z,1002,0,1,10,37,424,Yes,1015.0,1,2026-02-17T03:14:13Z,No,,Y
CID-00111,2026-02-02T06:08:19Z,1004,0,4,10,13,316,Yes,1014.0,1,2026-02-02T06:13:48Z,Yes,1.0,Y
CID-00112,2026-02-23T13:30:30Z,1013,0,1,3,43,179,Yes,1004.0,1,2026-02-23T13:34:12Z,No,,Y
CID-00113,2026-02-02T00:40:12Z,1002,0,5,5,40,290,Yes,1014.0,1,2026-02-02T00:45:42Z,Yes,4.0,N
CID-00114,2026-02-20T13:28:42Z,1006,0,1,10,25,256,Yes,1004.0,1,2026-02-20T13:33:23Z,No,,Y
CID-00115,2026-02-27T03:53:19Z,1009,0,1,2,37,160,Yes,1014.0,1,2026-02-27T03:56:36Z,No,,Y
CID-00116,2026-02-08T11:45:32Z,1005,2,4,10,42,415,No,,1,2026-02-08T11:53:09Z,Yes,3.0,Y
CID-00117,2026-02-08T16:04:05Z,1007,10,5,1,28,25,No,,57,2026-02-08T16:04:58Z,,,Y
CID-00118,2026-02-14T17:21:14Z,1002,0,2,2,42,491,Yes,1008.0,1,2026-02-14T17:30:07Z,Yes,2.0,Y
CID-00119,2026-02-19T16:46:21Z,1005,0,4,2,40,189,Yes,1008.0,1,2026-02-19T16:50:10Z,No,,N
CID-00120,2026-02-16T12:48:30Z,1002,9,5,3,22,241,No,,1,2026-02-16T12:52:53Z,Yes,2.0,Y
CID-00121,2026-02-09T20:44:17Z,1006,9,4,5,27,46,No,,1,2026-02-09T20:45:30Z,No,,Y
CID-00122,2026-02-27T06:04:38Z,1001,0,2,2,60,218,Yes,1011.0,1,2026-02-27T06:09:16Z,Yes,4.0,N
CID-00123,2026-02-12T07:10:55Z,1012,13,1,10,49,313,No,,1,2026-02-12T07:16:57Z,No,,N
CID-00124,2026-02-10T16:54:28Z,1011,0,4,3,45,58,Yes,1007.0,1,2026-02-10T16:56:11Z,Yes,3.0,Y
CID-00125,2026-02-11T04:22:35Z,1013,2,2,1,43,266,No,,1,2026-02-11T04:27:44Z,Yes,1.0,Y
CID-00126,2026-02-27T15:32:44Z,1015,0,4,4,13,162,Yes,1003.0,1,2026-02-27T15:35:39Z,No,,N
CID-00127,2026-02-17T08:33:48Z,1008,0,2,5,30,373,Yes,1001.0,1,2026-02-17T08:40:31Z,Yes,0.0,N
CID-00128,2026-02-15T18:20:12Z,1007,3,1,2,43,12,No,,57,2026-02-15T18:21:07Z,,,N
CID-00129,2026-02-03T17:29:29Z,1005,0,2,1,57,289,Yes,1010.0,1,2026-02-03T17:35:15Z,No,,Y
CID-00130,2026-02-27T14:39:55Z,1011,0,5,10,52,364,Yes,1003.0,1,2026-02-27T14:46:51Z,Yes,4.0,N
CID-00131,2026-02-10T08:57:29Z,1006,0,2,5,58,395,Yes,1001.0,1,2026-02-10T09:05:02Z,Yes,5.0,N
CID-00132,2026-02-02T07:44:08Z,1001,0,4,2,59,220,Yes,1014.0,1,2026-02-02T07:48:47Z,Yes,4.0,Y
CID-00133,2026-02-17T08:43:35Z,1012,0,4,5,16,89,Yes,1003.0,1,2026-02-17T08:45:20Z,Yes,5.0,Y
CID-00134,2026-02-24T02:52:00Z,1010,0,5,3,19,151,Yes,1015.0,1,2026-02-24T02:54:50Z,Yes,1.0,N
CID-00135,2026-02-12T16:59:28Z,1007,10,2,4,30,475,No,,1,2026-02-12T17:07:53Z,Yes,3.0,N
CID-00136,2026-02-15T15:44:51Z,1004,3,1,5,54,102,No,,1,2026-02-15T15:47:27Z,No,,N
CID-00137,2026-02-22T04:35:34Z,1015,4,1,3,28,438,No,,1,2026-02-22T04:43:20Z,Yes,3.0,N
CID-00138,2026-02-18T06:10:41Z,1015,1,5,5,24,289,No,,1,2026-02-18T06:15:54Z,No,,Y
CID-00139,2026-02-01T16:20:23Z,1009,9,4,4,15,344,No,,1,2026-02-01T16:26:22Z,Yes,1.0,N
CID-00140,2026-02-14T21:15:01Z,1004,0,1,2,12,102,Yes,1007.0,1,2026-02-14T21:16:55Z,Yes,0.0,Y
CID-00141,2026-02-08T11:13:09Z,1004,1,4,5,57,121,No,,1,2026-02-08T11:16:07Z,Yes,4.0,Y
CID-00142,2026-02-10T15:56:38Z,1014,0,1,2,60,136,Yes,1001.0,1,2026-02-10T15:59:54Z,No,,Y
CID-00143,2026-02-16T12:04:49Z,1006,0,4,5,34,340,Yes,1005.0,1,2026-02-16T12:11:03Z,No,,Y
CID-00144,2026-02-16T22:27:36Z,1002,0,5,2,49,374,Yes,1009.0,1,2026-02-16T22:34:39Z,No,,Y
CID-00145,2026-02-24T09:12:26Z,1003,10,5,1,21,365,No,,1,2026-02-24T09:18:52Z,No,,N
CID-00146,2026-02-15T14:17:27Z,1004,2,2,1,26,444,No,,1,2026-02-15T14:25:17Z,Yes,1.0,Y
CID-00147,2026-02-19T23:47:44Z,1009,9,5,1,12,97,No,,1,2026-02-19T23:49:33Z,No,,Y
CID-00148,2026-02-22T05:38:29Z,1001,0,4,5,29,358,Yes,1013.0,1,2026-02-22T05:44:56Z,No,,Y
CID-00149,2026-02-06T07:40:03Z,1006,0,2,1,50,194,Yes,1013.0,1,2026-02-06T07:44:07Z,Yes,2.0,Y
CID-00150,2026-02-26T20:02:59Z,1015,0,1,1,51,67,Yes,1006.0,1,2026-02-26T20:04:57Z,Yes,3.0,Y
CID-00151,2026-02-02T20:48:36Z,1008,10,4,10,30,444,No,,1,2026-02-02T20:56:30Z,No,,Y
CID-00152,2026-02-21T01:28:10Z,1014,1,5,1,23,421,No,,1,2026-02-21T01:35:34Z,Yes,1.0,N
CID-00153,2026-02-28T13:11:52Z,1009,0,4,10,25,349,Yes,1005.0,1,2026-02-28T13:18:06Z,Yes,1.0,N
CID-00154,2026-02-24T14:30:19Z,1002,9,1,3,53,469,No,,1,2026-02-24T14:39:01Z,No,,N
CID-00155,2026-02-20T23:55:02Z,1009,1,1,1,31,268,No,,1,2026-02-21T00:00:01Z,Yes,5.0,Y
CID-00156,2026-02-09T05:14:19Z,1008,0,5,5,42,177,Yes,1012.0,1,2026-02-09T05:17:58Z,Yes,3.0,Y
CID-00157,2026-02-22T16:55:07Z,1010,3,1,4,56,161,No,,1,2026-02-22T16:58:44Z,Yes,0.0,N
CID-00158,2026-02-11T12:53:12Z,1012,0,1,2,38,418,Yes,1002.0,1,2026-02-11T13:00:48Z,No,,Y
CID-00159,2026-02-27T21:38:59Z,1014,0,5,4,32,228,Yes,1008.0,1,2026-02-27T21:43:19Z,No,,Y
CID-00160,2026-02-18T07:37:59Z,1008,0,1,1,23,146,Yes,1013.0,1,2026-02-18T07:40:48Z,Yes,3.0,N
CID-00161,2026-02-08T06:29:03Z,1015,2,2,3,11,369,No,,1,2026-02-08T06:35:23Z,Yes,1.0,N
CID-00162,2026-02-02T20:37:57Z,1005,0,1,2,41,248,Yes,1010.0,1,2026-02-02T20:42:46Z,Yes,2.0,Y
CID-00163,2026-02-11T07:10:31Z,1008,0,1,2,21,109,Yes,1011.0,1,2026-02-11T07:12:41Z,Yes,0.0,Y
CID-00164,2026-02-17T16:36:27Z,1011,0,5,4,39,163,Yes,1006.0,1,2026-02-17T16:39:49Z,No,,N
CID-00165,2026-02-27T21:50:20Z,1013,0,4,10,21,434,Yes,1009.0,1,2026-02-27T21:57:55Z,Yes,5.0,Y
CID-00166,2026-02-11T21:43:10Z,1002,0,2,5,48,37,Yes,1008.0,1,2026-02-11T21:44:35Z,No,,Y
CID-00167,2026-02-06T15:43:07Z,1005,13,2,2,42,101,No,,1,2026-02-06T15:45:30Z,Yes,5.0,Y
CID-00168,2026-02-18T05:23:45Z,1013,1,4,10,51,216,No,,1,2026-02-18T05:28:12Z,No,,Y
CID-00169,2026-02-13T20:45:38Z,1014,0,4,5,50,374,Yes,1008.0,1,2026-02-13T20:52:42Z,Yes,2.0,N
CID-00170,2026-02-11T20:01:07Z,1014,0,1,2,54,197,Yes,1007.0,1,2026-02-11T20:05:18Z,Yes,0.0,N
CID-00171,2026-02-22T22:30:02Z,1003,0,4,4,31,397,Yes,1007.0,1,2026-02-22T22:37:10Z,No,,N
CID-00172,2026-02-23T23:25:08Z,1006,4,5,5,56,246,No,,1,2026-02-23T23:30:10Z,Yes,5.0,N
CID-00173,2026-02-26T15:07:09Z,1014,0,1,10,57,373,Yes,1001.0,1,2026-02-26T15:14:19Z,Yes,2.0,Y
CID-00174,2026-02-21T09:54:44Z,1003,4,2,4,35,13,No,,57,2026-02-21T09:55:32Z,,,N
CID-00175,2026-02-15T04:28:26Z,1002,0,5,3,30,116,Yes,1011.0,1,2026-02-15T04:30:52Z,No,,N
CID-00176,2026-02-27T00:44:40Z,1015,10,4,2,51,209,No,,1,2026-02-27T00:49:00Z,Yes,5.0,Y
CID-00177,2026-02-07T11:21:26Z,1011,0,4,1,41,145,Yes,1004.0,1,2026-02-07T11:24:32Z,No,,Y
CID-00178,2026-02-20T21:18:37Z,1006,4,2,5,13,431,No,,1,2026-02-20T21:26:01Z,No,,N
CID-00179,2026-02-15T12:50:57Z,1005,4,4,2,24,337,No,,1,2026-02-15T12:56:58Z,No,,Y
CID-00180,2026-02-11T22:58:40Z,1006,10,2,5,36,319,No,,1,2026-02-11T23:04:35Z,No,,Y
CID-00181,2026-02-20T09:54:56Z,1013,0,1,4,12,373,Yes,1004.0,1,2026-02-20T10:01:21Z,Yes,2.0,N
CID-00182,2026-02-07T01:17:36Z,1004,0,2,2,17,236,Yes,1013.0,1,2026-02-07T01:21:49Z,No,,Y
CID-00183,2026-02-06T08:59:41Z,1002,3,4,2,18,160,No,,1,2026-02-06T09:02:39Z,No,,Y
CID-00184,2026-02-02T02:37:21Z,1009,0,2,2,22,483,Yes,1015.0,1,2026-02-02T02:45:46Z,No,,N
CID-00185,2026-02-28T17:31:28Z,1009,4,4,1,14,90,No,,1,2026-02-28T17:33:12Z,No,,Y
CID-00186,2026-02-16T06:01:32Z,1001,0,5,1,27,461,Yes,1014.0,1,2026-02-16T06:09:40Z,No,,N
CID-00187,2026-02-04T04:23:05Z,1010,0,4,5,18,28,Yes,1013.0,57,2026-02-04T04:23:51Z,,,Y
CID-00188,2026-02-28T16:01:18Z,1004,0,1,4,55,254,Yes,1006.0,1,2026-02-28T16:06:27Z,No,,Y
CID-00189,2026-02-02T01:09:52Z,1003,0,2,3,18,86,Yes,1015.0,1,2026-02-02T01:11:36Z,Yes,4.0,N
CID-00190,2026-02-14T06:34:33Z,1013,9,2,10,44,473,No,,1,2026-02-14T06:43:10Z,Yes,2.0,N
CID-00191,2026-02-02T03:57:10Z,1003,0,4,2,39,312,Yes,1015.0,1,2026-02-02T04:03:01Z,Yes,5.0,N
CID-00192,2026-02-17T09:51:34Z,1009,0,5,4,33,43,Yes,1002.0,1,2026-02-17T09:52:50Z,Yes,5.0,Y
CID-00193,2026-02-11T11:41:58Z,1012,0,4,5,59,252,Yes,1003.0,1,2026-02-11T11:47:09Z,Yes,2.0,Y
CID-00194,2026-02-13T00:00:51Z,1004,0,4,3,49,325,Yes,1011.0,1,2026-02-13T00:07:05Z,Yes,4.0,Y
CID-00195,2026-02-19T10:00:42Z,1012,0,5,4,14,366,Yes,1001.0,1,2026-02-19T10:07:02Z,Yes,3.0,N
CID-00196,2026-02-28T21:19:08Z,1002,0,5,5,44,334,Yes,1008.0,1,2026-02-28T21:25:26Z,Yes,5.0,N
CID-00197,2026-02-03T13:45:32Z,1001,9,5,10,43,62,No,,1,2026-02-03T13:47:17Z,No,,N
CID-00198,2026-02-07T16:21:00Z,1008,3,4,3,31,433,No,,1,2026-02-07T16:28:44Z,Yes,2.0,Y
CID-00199,2026-02-26T07:06:49Z,1013,9,4,5,59,461,No,,1,2026-02-26T07:15:29Z,Yes,1.0,Y
CID-00200,2026-02-06T10:10:06Z,1015,0,1,10,43,186,Yes,1002.0,1,2026-02-06T10:13:55Z,Yes,3.0,N
CID-00201,2026-02-09T12:56:38Z,1002,10,1,4,43,292,No,,1,2026-02-09T13:02:13Z,No,,N
CID-00202,2026-02-11T02:47:32Z,1003,0,5,1,47,483,Yes,1011.0,1,2026-02-11T02:56:22Z,Yes,5.0,N
CID-00203,2026-02-15T16:59:41Z,1007,3,5,4,60,184,No,,1,2026-02-15T17:03:45Z,Yes,3.0,N
CID-00204,2026-02-16T16:32:51Z,1014,0,4,5,33,486,Yes,1007.0,1,2026-02-16T16:41:30Z,No,,Y
CID-00205,2026-02-17T02:22:27Z,1002,0,5,5,54,365,Yes,1015.0,1,2026-02-17T02:29:26Z,No,,Y
CID-00206,2026-02-04T06:59:13Z,1006,0,4,10,41,188,Yes,1011.0,1,2026-02-04T07:03:02Z,Yes,4.0,Y
CID-00207,2026-02-01T12:59:07Z,1012,0,2,1,49,14,Yes,1003.0,57,2026-02-01T13:00:10Z,,,Y
CID-00208,2026-02-12T12:52:48Z,1011,0,1,5,46,459,Yes,1002.0,1,2026-02-12T13:01:13Z,Yes,4.0,N
CID-00209,2026-02-25T21:11:47Z,1002,0,2,10,45,112,Yes,1010.0,1,2026-02-25T21:14:24Z,No,,Y
CID-00210,2026-02-20T04:19:46Z,1014,10,1,3,24,500,No,,1,2026-02-20T04:28:30Z,Yes,5.0,N
CID-00211,2026-02-26T13:16:28Z,1002,1,4,10,50,173,No,,1,2026-02-26T13:20:11Z,Yes,1.0,Y
